SAMPLE_ID,miss_prop
AMR_123129_Ct_zast,0.26
CUMV_14305_Ct_gran,0.47
CUMV_14312_Ct_gran,0.34
CUMV_14357_Ct_dux,0.24
CUMV_14361_Ct_dux,0.13
CUMV_14362_Ct_dux,0.18
CUMV_14364_Ct_dux,0.39
CUMV_14365_Ct_dux,0.38
CUMV_14366_Ct_dux,0.13
CUMV_14367_Ct_dux,0.08
CUMV_14369_Ct_dux,0.44
CUMV_14370_Ct_dux,0.13
CUMV_14373_Ct_dux,0.13
CUMV_14374_Ct_dux,0.21
CUMV_14423_Ct_pian,0.53
CUMV_14811_Ct_aria,0.79
CUMV_14812_Ct_aria,0.25
CUMV_14817_Ct_quat,0.23
CUMV_14820_Ct_quat,0.46
NA_CCM1470_Ct_inor,0.37
QMJ_62380_Ct_dux,0.26
SAMAR_29946_Ct_dux,0.17
SAMAR_35025_Ct_aria,0.23
SAMAR_38117_Ct_aria,0.29
SAMAR_45960_Ct_aria,0.37
SAMAR_48573_Ct_dux,0.15
SAMAR_57212_Ct_dux,0.11
SAMR_31859_Ct_atla,0.61
SAMR_31899_Ct_atla,0.16
SAMR_32080_Ct_atla,0.2
SAMR_32256_Ct_atla,0.45
SAMR_36098_Ct_dux,0.14
SAMR_37942_Ct_atla,0.24
SAMR_37962_Ct_atla,0.73
SAMR_42034_Ct_dux,0.13
SAMR_44387_Ct_dux,0.13
SAMR_45385_Ct_pian,0.38
SAMR_45608_Ct_dux,0.14
SAMR_46165_Ct_dux,0.14
SAMR_48698_Ct_gran,0.29
SAMR_48807_Ct_pian,0.45
SAMR_48821_Ct_gran,0.37
SAMR_55208_Ct_atla,0.38
SAMR_56476_Ct_dux,0.17
SAMR_57397_Ct_atla,0.2
SAMR_60360_Ct_atla,0.18
SAMR_62031_Ct_dux,0.13
SAMR_62062_Ct_dux,0.25
SAMR_62379_Ct_dux,0.2
UMMZ_242608_Ct_gran,0.35
UMMZ_242609_Ct_gran,0.3
UMMZ_242613_Ct_gran,0.42
UMMZ_242644_Ct_pian,0.21
UMMZ_242649_Ct_serv,0.32
UMMZ_242650_Ct_serv,0.27
UMMZ_242654_Ct_zast,0.28
UMMZ_242655_Ct_zast,0.24
WAMR_099165_Ct_duri,0.42
WAMR_102159_Ct_duri,0.41
WAMR_102472_Ct_hele,0.34
WAMR_102494_Ct_duri,0.42
WAMR_102667_Ct_pian,0.59
WAMR_104349_Ct_angu,0.4
WAMR_110222_Ct_duri,0.49
WAMR_110581_Ct_pian,0.49
WAMR_110668_Ct_duri,0.94
WAMR_111584_Ct_duri,0.48
WAMR_113416_Ct_atla,0.24
WAMR_119711_Ct_pian,0.85
WAMR_119931_Ct_duri,0.53
WAMR_119955_Ct_pian,0.43
WAMR_126428_Ct_atla,0.22
WAMR_135218_Ct_atla,0.32
WAMR_135237_Ct_atla,0.38
WAMR_136457_Ct_atla,0.25
WAMR_139391_Ct_duri,0.54
WAMR_139394_Ct_duri,0.38
WAMR_139423_Ct_duri,0.61
WAMR_140983_Ct_mary,0.45
WAMR_141296_Ct_duri,0.42
WAMR_145630_Ct_duri,0.53
WAMR_157067_Ct_duri,0.46
WAMR_157132_Ct_pian,0.59
WAMR_157566_Ct_duri,0.88
WAMR_157583_Ct_hanl,0.4
WAMR_158107_Ct_duri,0.51
WAMR_158380_Ct_hanl,0.6
WAMR_158428_Ct_mary,0.38
WAMR_160095_Ct_duri,0.44
WAMR_161462_Ct_duri,0.35
WAMR_162334_Ct_duri,0.44
WAMR_166441_Ct_dux,0.21
WAMR_166456_Ct_pian,0.28
WAMR_170291_Ct_duri,0.56
WAMR_170467_Ct_duri,0.43
WAMR_170880_Ct_duri,0.44
