SAMPLE_ID,miss_prop
CUMV_14845_Ct_calu,0.26
NA_CCM0750_Ct_haly,0.13
NA_CCM0751_Ct_haly,0.09
NA_CCM0804_Ct_haly,0.14
NA_CCM0816_Ct_haly,0.13
NA_CCM0817_Ct_haly,0.09
NA_CCM0820_Ct_haly,0.24
NA_CCM1006_Ct_ehma,0.19
NA_CCM1013_Ct_ehma,0.18
NA_CCM1424_Ct_ehma,0.1
NA_CCM1425_Ct_ehma,0.11
NA_CCM4743_Ct_vert,0.27
NA_CCM4823_Ct_stor,0.19
NA_CCM4824_Ct_stor,0.26
NA_CCM4867_Ct_stor,0.49
NA_CCM6484_Ct_deca,0.31
NA_K014_Ct_stor,0.2
NA_K015_Ct_stor,0.2
NTMR_22441_Ct_stri,0.5
WAMR_102658_Ct_nasu,0.22
WAMR_102661_Ct_nasu,0.82
WAMR_139414_Ct_nigr,0.35
WAMR_139415_Ct_nigr,0.74
WAMR_151014_Ct_tant,0.31
WAMR_151833_Ct_tant,0.26
WAMR_157327_Ct_rufe,0.3
WAMR_165940_Ct_tant,0.18
