SAMPLE_ID,miss_prop
AMSR_111493_Ct_spal,0.4
AMSR_111494_Ct_spal,0.46
CUMV_14589_Ct_hele,0.24
CUMV_14590_Ct_hele,0.49
CUMV_14591_Ct_hele,0.24
CUMV_14593_Ct_hele,0.22
CUMV_14594_Ct_hele,0.5
CUMV_14595_Ct_hele,0.23
CUMV_14596_Ct_hele,0.45
CUMV_14597_Ct_hele,0.47
CUMV_14598_Ct_hele,0.7
CUMV_14599_Ct_hele,0.25
CUMV_14600_Ct_hele,0.24
CUMV_14601_Ct_hele,0.34
CUMV_14602_Ct_hele,0.24
CUMV_14604_Ct_hele,0.32
CUMV_14606_Ct_hele,0.37
CUMV_14611_Ct_hele,0.23
CUMV_14612_Ct_hele,0.12
CUMV_14655_Ct_hele,0.56
CUMV_14656_Ct_hele,0.35
NA_ABTC03841_Ct_robu,0.89
NA_ABTC113741_Ct_saxa,0.09
NA_ABTC31797_Ct_saxa,0.13
NA_ABTC60781_Ct_hele,0.45
NA_ABTC61569_Ct_robu,0.19
NA_CCM0044_Ct_euta,0.34
NA_CCM0090_Ct_late,0.38
NA_CCM0535_Ct_inor,0.42
NA_CCM0753_Ct_robu,0.32
NA_CCM0823_Ct_robu,0.49
NA_CCM0830_Ct_inor,0.36
NA_CCM0847_Ct_robu,0.36
NA_CCM0848_Ct_inor,0.39
NA_CCM0849_Ct_inor,0.4
NA_CCM0850_Ct_inor,0.32
NA_CCM0946_Ct_inor,0.3
NA_CCM0947_Ct_inor,0.57
NA_CCM0956_Ct_robu,0.3
NA_CCM0980_Ct_mast,0.25
NA_CCM1061_Ct_sp,0.26
NA_CCM1206_Ct_robu,0.26
NA_CCM1249_Ct_inor,0.25
NA_CCM1388_Ct_robu,0.3
NA_CCM1389_Ct_robu,0.29
NA_CCM1390_Ct_inor,0.25
NA_CCM1409_Ct_robu,0.28
NA_CCM1412_Ct_robu,0.3
NA_CCM1415_Ct_robu,0.36
NA_CCM1444_Ct_inor,0.3
NA_CCM1445_Ct_inor,0.28
NA_CCM1529_Ct_inor,0.3
NA_CCM1530_Ct_robu,0.29
NA_CCM1579_Ct_inor,0.35
NA_CCM1580_Ct_inor,0.28
NA_CCM1710_Ct_inor,0.3
NA_CCM2292_Ct_inor,0.18
NA_CCM2497_Ct_spal,0.19
NA_CCM2518_Ct_vert,0.3
NA_CCM2565_Ct_vert,0.27
NA_CCM2866_Ct_robu,0.22
NA_CCM3739_Ct_inor,0.12
NA_CCM3869_Ct_inor,0.22
NA_CCM4920_Ct_essi,0.25
NA_CCM5477_Ct_vert,0.35
NMVD_67682_Ct_saxa,0.54
NTMR_13503_Ct_saxa,0.65
NTMR_13838_Ct_bore,0.33
NTMR_16340_Ct_inor,0.94
NTMR_17738_Ct_cogg,0.9
NTMR_17739_Ct_bore,0.4
NTMR_18323_Ct_robu,0.42
NTMR_20378_Ct_robu,0.23
NTMR_20628_Ct_saxa,0.55
NTMR_20687_Ct_robu,0.92
NTMR_20846_Ct_saxa,0.71
NTMR_21670_Ct_spal,0.33
NTMR_22166_Ct_robu,0.38
NTMR_22167_Ct_bore,0.81
NTMR_22175_Ct_robu,0.54
NTMR_22298_Ct_spal,0.29
NTMR_22299_Ct_spal,0.3
NTMR_22301_Ct_robu,0.81
NTMR_22325_Ct_spal,0.31
NTMR_22432_Ct_saxa,0.69
NTMR_22620_Ct_robu,0.28
NTMR_22621_Ct_spal,0.42
NTMR_22622_Ct_spal,0.39
NTMR_22934_Ct_robu,0.87
NTMR_23004_Ct_bore,0.36
NTMR_23791_Ct_robu,0.7
NTMR_23960_Ct_robu,0.33
NTMR_25983_Ct_spal,0.28
NTMR_26117_Ct_inor,0.57
QM_48384_Ct_robu,0.82
QM_82086_Ct_spal,0.52
SAMAR_34180_Ct_bore,0.42
SAMAR_34202_Ct_spal,0.38
SAMAR_34261_Ct_late,0.33
SAMAR_42687_Ct_late,0.28
SAMAR_42768_Ct_late,0.33
SAMAR_42837_Ct_late,0.69
SAMAR_51093_Ct_spal,0.45
SAMAR_54433_Ct_late,0.29
SAMAR_54463_Ct_late,0.43
SAMAR_54485_Ct_spal,0.35
SAMAR_55259_Ct_late,0.3
SAMAR_55675_Ct_spal,0.45
SAMAR_55731_Ct_robu,0.34
SAMAR_55799_Ct_late,0.36
SAMR_19910_Ct_robu,0.55
SAMR_21493_Ct_robu,0.22
SAMR_28536_Ct_robu,0.21
SAMR_29707_Ct_brac,0.48
SAMR_32276_Ct_hele,0.62
SAMR_32932_Ct_robu,0.18
SAMR_33525_Ct_robu,0.19
SAMR_33560_Ct_robu,0.59
SAMR_33695_Ct_robu,0.19
SAMR_33707_Ct_robu,0.62
SAMR_33876_Ct_robu,0.12
SAMR_35964_Ct_hele,0.53
SAMR_36252_Ct_brac,0.49
SAMR_36313_Ct_robu,0.18
SAMR_36349_Ct_brac,0.45
SAMR_36603_Ct_robu,0.69
SAMR_37975_Ct_robu,0.62
SAMR_38776_Ct_saxa,0.18
SAMR_39480_Ct_robu,0.15
SAMR_40718_Ct_robu,0.18
SAMR_41330_Ct_brac,0.71
SAMR_42758_Ct_late,0.34
SAMR_42918_Ct_saxa,0.91
SAMR_44367_Ct_hele,0.08
SAMR_44377_Ct_hele,0.2
SAMR_45215_Ct_brac,0.63
SAMR_45480_Ct_saxa,0.14
SAMR_46119_Ct_hele,0.12
SAMR_46204_Ct_robu,0.25
SAMR_46880_Ct_saxa,0.19
SAMR_47028_Ct_robu,0.52
SAMR_48684_Ct_robu,0.21
SAMR_48710_Ct_hele,0.16
SAMR_48962_Ct_robu,0.2
SAMR_49609_Ct_robu,0.24
SAMR_50208_Ct_saxa,0.5
SAMR_50209_Ct_saxa,0.55
SAMR_50372_Ct_robu,0.18
SAMR_52303_Ct_robu,0.27
SAMR_52956_Ct_robu,0.68
SAMR_53975_Ct_saxa,0.45
SAMR_54008_Ct_saxa,0.55
SAMR_54340_Ct_late,0.39
SAMR_54434_Ct_late,0.37
SAMR_55725_Ct_spal,0.48
SAMR_55746_Ct_robu,0.6
SAMR_55874_Ct_euta,0.62
SAMR_55881_Ct_robu,0.84
SAMR_65339_Ct_late,0.85
SAMR_65407_Ct_late,0.27
SAMR_65416_Ct_late,0.3
UMMZ_242614_Ct_hele,0.25
UMMZ_242616_Ct_hele,0.23
UMMZ_242623_Ct_hele,0.37
UMMZ_242624_Ct_inor,0.27
UMMZ_242625_Ct_inor,0.53
UMMZ_242629_Ct_inor,0.3
UMMZ_242630_Ct_inor,0.27
UMMZ_244288_ct_inor,0.1
WAMR_084577_Ct_hele,0.67
WAMR_094929_Ct_hele,0.1
WAMR_102423_Ct_saxa,0.13
WAMR_102671_Ct_hele,0.92
WAMR_102771_Ct_hele,0.08
WAMR_108698_Ct_saxa,0.24
WAMR_108742_Ct_hele,0.6
WAMR_108745_Ct_saxa,0.15
WAMR_108766_Ct_saxa,0.63
WAMR_108816_Ct_saxa,0.19
WAMR_108911_Ct_hele,0.57
WAMR_117679_Ct_saxa,0.64
WAMR_126010_Ct_rima,0.66
WAMR_126015_Ct_rima,0.48
WAMR_126017_Ct_inor,0.12
WAMR_129923_Ct_hele,0.18
WAMR_131009_Ct_hele,0.12
WAMR_131018_Ct_fall,0.17
WAMR_131371_Ct_hele,0.15
WAMR_132522_Ct_saxa,0.22
WAMR_132682_Ct_saxa,0.23
WAMR_132686_Ct_saxa,0.15
WAMR_132723_Ct_saxa,0.15
WAMR_135396_Ct_hele,0.12
WAMR_135692_Ct_saxa,0.57
WAMR_137950_Ct_robu,0.2
WAMR_139005_Ct_saxa,0.15
WAMR_139296_Ct_hele,0.62
WAMR_139523_Ct_hele,0.74
WAMR_140720_Ct_hele,0.12
WAMR_141131_Ct_hele,0.62
WAMR_141301_Ct_hele,0.6
WAMR_141379_Ct_robu,0.62
WAMR_145567_Ct_hele,0.14
WAMR_145686_Ct_robu,0.8
WAMR_145698_Ct_hele,0.09
WAMR_145926_Ct_hele,0.61
WAMR_146012_Ct_robu,0.65
WAMR_146913_Ct_seve,0.65
WAMR_152991_Ct_seve,0.35
WAMR_153812_Ct_saxa,0.14
WAMR_154016_Ct_fall,0.61
WAMR_156159_Ct_seve,0.73
WAMR_157646_Ct_hele,0.7
WAMR_158204_Ct_saxa,0.53
WAMR_158376_Ct_saxa,0.58
WAMR_166390_Ct_hele,0.09
WAMR_166391_Ct_hele,0.46
WAMR_166392_Ct_hele,0.72
