SAMPLE_ID,miss_prop
CUMV_14495_Ct_pant,0.23
CUMV_14496_Ct_pant,0.28
CUMV_1450314572_Ct_pant,0.3
CUMV_14509_Ct_pant,0.22
CUMV_14516_Ct_pant,0.32
CUMV_14517_Ct_pant,0.24
CUMV_14518_Ct_pant,0.21
CUMV_14525_Ct_pant,0.26
CUMV_14526_Ct_pant,0.25
CUMV_14527_Ct_pant,0.26
CUMV_14545_Ct_pant,0.34
CUMV_14546_Ct_pant,0.47
CUMV_14547_Ct_pant,0.21
CUMV_14550_Ct_pant,0.31
CUMV_14551_Ct_pant,0.26
CUMV_14552_Ct_pant,0.47
CUMV_14558_Ct_pant,0.3
CUMV_14559_Ct_pant,0.27
CUMV_14560_Ct_pant,0.47
CUMV_14561_Ct_pant,0.62
CUMV_14563_Ct_pant,0.26
CUMV_14565_Ct_pant,0.69
CUMV_14566_Ct_pant,0.24
CUMV_14567_Ct_pant,0.26
CUMV_14568_Ct_pant,0.26
CUMV_14569_Ct_pant,0.25
CUMV_14570_Ct_pant,0.21
CUMV_1457314504_Ct_pant,0.32
CUMV_1457414505_Ct_pant,0.21
CUMV_1457514506_Ct_pant,0.21
CUMV_14576_Ct_pant,0.31
NA_CCM1889_Ct_pant,0.14
NA_CCM2756_Ct_pant,0.11
NA_DLR0038_Ct_pant,0.59
NA_DLR0053_Ct_pant,0.59
NA_DLR0176_Ct_pant,0.25
NA_PMO179_Ct_pant,0.29
QM_62378_Ct_pant,0.16
SAMR_38802_Ct_pant,0.67
SAMR_42153_Ct_pant,0.24
SAMR_44378_Ct_pant,0.22
SAMR_44860_Ct_pant,0.14
SAMR_45310_Ct_pant,0.2
SAMR_45528_Ct_pant,0.28
SAMR_49197_Ct_pant,0.27
SAMR_54432_Ct_pant,0.35
SAMR_55674_Ct_pant,0.41
SAMR_65403_Ct_pant,0.25
UMMZ_242633_Ct_pant,0.22
UMMZ_242634_Ct_pant,0.3
UMMZ_242638_Ct_pant,0.27
UMMZ_242639_Ct_pant,0.26
UMMZ_242642_Ct_pant,0.56
UMMZ_242643_Ct_pant,0.3
WAMR_104950_Ct_pant,0.17
WAMR_108591_Ct_pant,0.16
WAMR_108704_Ct_pant,0.12
WAMR_112518_Ct_pant,0.57
WAMR_119962_Ct_pant,0.48
WAMR_125012_Ct_pant,0.57
WAMR_129335_Ct_pant,0.28
WAMR_129863_Ct_pant,0.22
WAMR_129885_Ct_pant,0.24
WAMR_131057_Ct_pant,0.4
WAMR_132520_Ct_pant,0.47
WAMR_134166_Ct_pant,0.6
WAMR_135379_Ct_pant,0.19
WAMR_139092_Ct_pant,0.13
WAMR_140704_Ct_pant,0.28
WAMR_145526_Ct_pant,0.14
WAMR_146582_Ct_rubi,0.68
WAMR_153984_Ct_pant,0.37
WAMR_158463_Ct_pant,0.27
