"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","ID"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14408_Ct_broo"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14409_Ct_broo"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14411_Ct_broo"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"CUMV_14412_Ct_broo"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"CUMV_14700_Ct_scho"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_ABTC10487_Ct_broo"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"NA_ABTC113798_Ct_scho"
9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_ABTC113879_Ct_stra"
9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_ABTC113898_Ct_stra"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_ABTC12607_Ct_broo"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"NA_ABTC12623_Ct_scho"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"NA_ABTC89250_Ct_broo"
9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"NA_DLR0549_Ct_broo"
9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"NTMR_14947_Ct_calu"
0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"QMJ_74401_Ct_zebr"
